E1111 02:34:09.020888  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_STORAGE_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.029401  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_WIFI_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.032270  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PARKINGLOG_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.039741  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_ENCODER_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.039883  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_CAMERA_INFO_T_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.044493  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_STORAGE_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.045403  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_WIFI_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.049286  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PARKINGLOG_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.049332  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_CAMERA_INFO_T_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.053740  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_LANE_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.061644  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_LANE_INFO_BATCH_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.064944  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_LANE_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.066091  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 1: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.070888  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_LANE_INFO_BATCH_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.091562  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_ENCODER_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.116883  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 1: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.118111  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_ENCODER_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.432479  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 4: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.445072  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 4: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.461063  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 7: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.466026  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 7: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.483056  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 10: dial tcp 192.168.32.2:9094: connect: connection refused
